objid,u,g,r,i,z,ra,dec,flags_r,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237661150846386357,18.55146,16.87971,16.09593,15.68668,15.36842,211.473659684516,46.5884740442343,6755674587562000,31,0.483999997377396,0.0970000028610229,0,0.386999994516373,0.0320000015199184,0
1237661151379063030,18.93332,17.56786,17.05662,16.73207,16.49861,197.78859043481,49.3227758693184,6755674587562000,68,0.131999999284744,0.368000000715256,0.0740000009536743,0.397000014781952,0.028999999165535,0
1237661151379193930,18.5749,17.30611,16.79893,16.49229,16.24148,198.143247865352,49.4088919252919,4503874773745664,26,0.115000002086163,0.0379999987781048,0.153999999165535,0.691999971866608,0,0
1237661151382536370,18.93719,16.92246,15.83106,15.40696,15.01606,209.422148565974,47.415632615026,6755674587566096,53,0.546999990940094,0,0,0,0.0750000029802322,0.377000004053116
1237661151383388407,18.57944,17.50625,17.19754,17.12905,17.36915,211.955842216333,46.8067126865388,6755674587430928,31,0.160999998450279,0.194000005722046,0,0.418999999761581,0.0970000028610229,0.12899999320507
1237661151913771115,15.8918,13.84986,12.96619,12.54129,12.15559,190.274435418399,50.3933967160872,6755674587566096,64,0.0309999994933605,0.0160000007599592,0.703000009059906,0.25,0,0
1237661151915278390,16.52852,15.06912,14.3304,13.91676,13.63747,195.624437188733,49.957838060038,6755674587430928,33,0,0,1,0,0,0
1237661151917703193,17.94106,16.72101,16.14063,15.77851,15.56418,203.902109098566,49.0149536688796,6755674587566096,29,0.448000013828278,0,0,0.0689999982714653,0.103000000119209,0.379000008106232
1237661151917703325,18.70354,17.23119,16.52027,16.12613,15.83768,204.056929715563,49.037816536506,6755674587430928,33,0.545000016689301,0,0.303000003099442,0.090999998152256,0.0610000006854534,0
1237661151918686365,18.94303,17.69998,17.03152,16.57879,16.36268,207.292963904066,48.4492309380727,4503874773745664,26,0.577000021934509,0.0379999987781048,0.0769999995827675,0.268999993801117,0.0379999987781048,0
1237661151920652402,18.76061,17.15575,16.38338,15.9529,15.64592,213.460427904282,46.8165386524905,6755674587430928,29,0.172000005841255,0.0689999982714653,0.034000001847744,0.723999977111816,0,0
1237661151920652415,18.96123,17.86104,17.45782,17.17005,17.04713,213.583774662577,46.9353219728058,6755674587430928,66,0.105999998748302,0.0299999993294477,0.0299999993294477,0.833000004291534,0,0
1237661152450248784,17.52325,15.58169,14.64502,14.2025,13.89744,188.74731816741,50.8511246336536,6755674587562000,23,0.391000002622604,0.216999992728233,0.0869999974966049,0.216999992728233,0,0.0869999974966049
1237661152452149305,15.6569,14.15394,13.46287,13.10713,12.82672,195.657146802345,50.4384132523571,4503874791706640,33,0,0.0299999993294477,0.970000028610229,0,0,0
1237661152452149461,17.49259,16.92372,16.8763,16.9255,16.81942,195.600262177643,50.4348319468206,4503599904227344,30,0.133000001311302,0,0.0329999998211861,0.133000001311302,0.666999995708466,0.0329999998211861
1237661152452870246,18.55449,17.98983,17.68066,17.33309,17.2786,198.117197080232,50.1676037046381,4503874840854600,25,0.0399999991059303,0,0.159999996423721,0.119999997317791,0.239999994635582,0.439999997615814
1237661152453722182,17.51241,15.5678,14.66099,14.22624,13.8908,201.227264250542,49.8978931267801,6755674587566096,57,0,0.824999988079071,0.0350000001490116,0,0,0.140000000596046
1237661152456474743,18.8224,17.38361,16.64305,16.24529,15.97969,210.464091476511,48.0609734931825,6755674587430928,60,0.25,0.0329999998211861,0,0.0670000016689301,0.0329999998211861,0.616999983787537
1237661210434207986,16.36438,15.32143,15.03819,14.88075,14.82452,217.462229231988,44.447659519428,6755399709659152,43,0.0700000002980232,0.0230000000447035,0.0230000000447035,0.163000002503395,0.32600000500679,0.395000010728836
1237661210435911718,17.73203,16.64147,16.07822,15.77852,15.65838,222.126225255025,42.6258548337554,4503874773745680,58,0.569000005722046,0,0.0860000029206276,0.25900000333786,0.0520000010728836,0.034000001847744
1237661210973175861,15.03097,13.15971,12.31264,11.90989,11.57083,223.568570049765,42.5579130567816,6755674587566096,28,0.679000020027161,0.0359999984502792,0.10700000077486,0,0.14300000667572,0.0359999984502792
1237661210973831322,18.80822,17.02909,16.09887,15.70797,15.36057,225.286273319466,41.9199204563863,6755674587566096,33,0.635999977588654,0.0299999993294477,0.0299999993294477,0.273000001907349,0.0299999993294477,0
1237661210973831373,18.78003,16.90956,15.99481,15.60744,15.28993,225.272599846888,41.8883551779882,6755674587566096,31,1,0,0,0,0,0
1237661210974290144,17.93706,16.98861,16.65467,16.48674,16.36324,226.510952962281,41.4263420540708,6755674587566096,37,0.0810000002384186,0,0.0540000014007092,0.865000009536743,0,0
1237660413188440115,14.83813,13.46142,12.73794,12.34376,12.08071,141.650627784162,7.95448259322875,6755674587566096,32,0.0309999994933605,0,0.218999996781349,0,0.75,0
1237660413718364224,18.49985,16.65362,15.79179,15.39084,15.07418,125.660195377167,6.22432642818451,2310346883987439632,27,0.851999998092651,0,0.0740000009536743,0.0370000004768372,0.0370000004768372,0
1237660413725114609,18.59977,17.40067,16.63239,16.19696,15.89381,141.122322390717,8.36982194430122,6755674587566096,30,0.200000002980232,0.566999971866608,0.0329999998211861,0.200000002980232,0,0
1237660561891328168,17.97219,16.1001,15.26302,14.88007,14.5755,114.462144626019,19.3291430201277,6755674587562000,35,0.314000010490417,0.0570000000298023,0.342999994754791,0.28600001335144,0,0
1237660561891656133,18.59246,17.1698,16.29058,15.80477,15.49475,115.031997265297,19.8471920937023,6755674587562000,52,0.231000006198883,0.0579999983310699,0.345999985933304,0.345999985933304,0.0189999993890524,0
1237660562428199574,17.96567,16.88487,16.39676,16.10879,15.97048,114.215751257687,19.5731869009562,6755674587430928,38,0.578999996185303,0.0260000005364418,0.131999999284744,0.158000007271767,0.0529999993741512,0.0529999993741512
1237660562428199607,18.83724,16.82131,15.75528,15.19833,14.8067,114.256693545951,19.5627583376332,6755674587562000,57,0.263000011444092,0.351000010967255,0.0350000001490116,0.193000003695488,0.0179999992251396,0.140000000596046
1237660562428264637,17.23517,15.34769,14.51035,14.07967,13.72858,114.323021558499,19.7259410121403,4503874774925328,35,0.943000018596649,0,0,0.0570000000298023,0,0
1237660562428265125,18.68922,16.84221,15.97112,15.55245,15.21833,114.305770780322,19.7221421410948,6755674587430928,35,0.742999970912933,0,0.028999999165535,0.0860000029206276,0.0570000000298023,0.0860000029206276
